THREADING LM O2,,JOEL LM O3,NO THREADING,O3 LM
0.001,1000,0.002522,0.001,0.001
0.001,2000,0.005014,0.002,0.002
0.002,3000,0.007535,0.002,0.002
0.003,4000,0.010017,0.002,0.003
0.004,5000,0.012532,0.003,0.004
0.004,6000,0.013514,0.005,0.004
0.005,7000,0.007009,0.005,0.005
0.005,8000,0.008009,0.006,0.006
0.006,9000,0.009012,0.007,0.006
0.008,10000,0.01001,0.007,0.008
0.009,11000,0.011012,0.008,0.008
0.009,12000,0.012012,0.008,0.009
0.01,13000,0.013013,0.01,0.01
0.012,14000,0.014021,0.011,0.011
0.012,15000,0.01502,0.011,0.045
0.012,16000,0.016017,0.011,0.012
0.013,17000,0.017017,0.012,0.013
0.014,18000,0.018018,0.015,0.014
0.015,19000,0.019023,0.015,0.015
0.015,20000,0.020022,0.016,0.015
0.015,21000,0.021022,0.017,0.016
0.016,22000,0.022028,0.017,0.017
0.018,23000,0.023024,0.018,0.02
0.019,24000,0.024029,0.018,0.019
0.019,25000,0.025025,0.019,0.019
0.019,26000,0.026029,0.019,0.019
0.022,27000,0.027024,0.02,0.019
0.02,28000,0.028031,0.021,0.021
0.022,29000,0.029032,0.023,0.021
0.022,30000,0.030031,0.022,0.024
0.024,31000,0.031133,0.024,0.024
0.023,32000,0.032036,0.023,0.023
0.024,33000,0.033032,0.024,0.025
0.027,34000,0.03415,0.024,0.026
0.029,35000,0.035085,0.026,0.027
0.027,36000,0.036038,0.027,0.027
0.027,37000,0.037044,0.028,0.03
0.028,38000,0.038037,0.028,0.029
0.031,39000,0.039042,0.03,0.028
0.031,40000,0.040151,0.032,0.03
0.032,41000,0.041042,0.031,0.031
0.031,42000,0.042051,0.033,0.032
0.031,43000,0.043047,0.032,0.032
0.033,44000,0.044043,0.033,0.035
0.035,45000,0.045056,0.034,0.032
0.034,46000,0.046054,0.034,0.033
0.037,47000,0.047161,0.034,0.036
0.035,48000,0.048054,0.035,0.035
0.036,49000,0.049052,0.035,0.035
0.04,50000,0.050057,0.036,0.037
0.037,51000,0.051056,0.039,0.038
0.04,52000,0.052054,0.037,0.039
0.04,53000,0.053053,0.038,0.039
0.042,54000,0.054055,0.04,0.04
0.041,55000,0.055055,0.041,0.042
0.04,56000,0.056155,0.041,0.041
0.042,57000,0.057066,0.041,0.041
0.044,58000,0.058067,0.042,0.042
0.045,59000,0.059068,0.045,0.043
0.045,60000,0.060068,0.043,0.045
0.046,61000,0.061154,0.044,0.044
0.045,62000,0.062071,0.047,0.044
0.055,63000,0.063133,0.048,0.046
0.049,64000,0.064073,0.047,0.047
0.048,65000,0.06525,0.047,0.048
0.049,66000,0.06607,0.048,0.048
0.051,67000,0.06707,0.049,0.05
0.051,68000,0.068072,0.049,0.05
0.051,69000,0.069069,0.05,0.052
0.051,70000,0.070079,0.051,0.053
0.052,71000,0.071077,0.053,0.054
0.055,72000,0.072164,0.054,0.053
0.056,73000,0.073078,0.053,0.054
0.055,74000,0.074077,0.054,0.054
0.055,75000,0.075083,0.056,0.054
0.056,76000,0.076083,0.056,0.056
0.057,77000,0.077182,0.058,0.055
0.059,78000,0.078161,0.06,0.057
0.058,79000,0.079091,0.058,0.057
0.059,80000,0.080086,0.058,0.059
0.06,81000,0.081089,0.06,0.059
0.062,82000,0.082086,0.061,0.059
0.061,83000,0.083083,0.064,0.062
0.065,84000,0.084085,0.061,0.061
0.062,85000,0.085178,0.062,0.063
0.063,86000,0.086095,0.062,0.063
0.064,87000,0.087092,0.066,0.066
0.066,88000,0.088105,0.064,0.066
0.067,89000,0.089101,0.064,0.065
0.067,90000,0.090217,0.066,0.067
0.066,91000,0.091099,0.066,0.068
0.069,92000,0.092097,0.067,0.07
